,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
137,2000,10,Oakland Raiders,Kansas City Chiefs,Oakland Raiders,,Sun,November 5,1:15PM,49,31,473,0,513,3,Raiders,Oakland,Chiefs,Kansas City
138,2000,10,Arizona Cardinals,Washington Redskins,Arizona Cardinals,,Sun,November 5,4:05PM,16,15,178,2,422,3,Cardinals,Arizona,Redskins,Washington
139,2000,10,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,,Sun,November 5,4:15PM,17,15,128,1,398,3,Seahawks,Seattle,Chargers,San Diego
140,2000,10,New York Jets,Denver Broncos,Denver Broncos,,Sun,November 5,4:15PM,30,23,447,1,381,3,Jets,New York,Broncos,Denver
141,2000,10,St. Louis Rams,Carolina Panthers,Carolina Panthers,,Sun,November 5,8:35PM,27,24,268,2,426,2,Rams,St. Louis,Panthers,Carolina
142,2000,10,Green Bay Packers,Minnesota Vikings,Green Bay Packers,,Mon,November 6,9:09PM,26,20,298,0,407,5,Packers,Green Bay,Vikings,Minnesota
143,2000,11,Dallas Cowboys,Cincinnati Bengals,Dallas Cowboys,,Sun,November 12,1:00PM,23,6,405,1,195,2,Cowboys,Dallas,Bengals,Cincinnati
144,2000,11,Minnesota Vikings,Arizona Cardinals,Minnesota Vikings,,Sun,November 12,1:00PM,31,14,460,2,249,2,Vikings,Minnesota,Cardinals,Arizona
145,2000,11,Pittsburgh Steelers,Philadelphia Eagles,Philadelphia Eagles,,Sun,November 12,1:01PM,26,23,290,1,322,1,Steelers,Pittsburgh,Eagles,Philadelphia
146,2000,11,Detroit Lions,Atlanta Falcons,Detroit Lions,,Sun,November 12,1:01PM,13,10,222,1,218,2,Lions,Detroit,Falcons,Atlanta
147,2000,11,Carolina Panthers,New Orleans Saints,New Orleans Saints,,Sun,November 12,1:02PM,20,10,322,2,311,5,Panthers,Carolina,Saints,New Orleans
148,2000,11,Buffalo Bills,Chicago Bears,Buffalo Bills,,Sun,November 12,1:02PM,20,3,299,1,234,4,Bills,Buffalo,Bears,Chicago
149,2000,11,Jacksonville Jaguars,Seattle Seahawks,Seattle Seahawks,,Sun,November 12,1:02PM,28,21,326,0,437,1,Jaguars,Jacksonville,Seahawks,Seattle
150,2000,11,Tennessee Titans,Baltimore Ravens,Baltimore Ravens,,Sun,November 12,1:03PM,24,23,361,1,286,2,Titans,Tennessee,Ravens,Baltimore
151,2000,11,Cleveland Browns,New England Patriots,Cleveland Browns,,Sun,November 12,1:03PM,19,11,272,0,286,4,Browns,Cleveland,Patriots,New England
152,2000,11,San Francisco 49ers,Kansas City Chiefs,San Francisco 49ers,,Sun,November 12,4:00PM,21,7,389,0,294,1,49ers,San Francisco,Chiefs,Kansas City
153,2000,11,San Diego Chargers,Miami Dolphins,Miami Dolphins,,Sun,November 12,4:05PM,17,7,244,0,238,4,Chargers,San Diego,Dolphins,Miami
154,2000,11,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers,,Sun,November 12,4:15PM,20,15,272,1,302,1,Buccaneers,Tampa Bay,Packers,Green Bay
155,2000,11,New York Giants,St. Louis Rams,St. Louis Rams,,Sun,November 12,4:15PM,38,24,397,1,348,3,Giants,New York,Rams,St. Louis
156,2000,11,Indianapolis Colts,New York Jets,Indianapolis Colts,,Sun,November 12,8:35PM,23,15,358,1,367,2,Colts,Indianapolis,Jets,New York
157,2000,11,Denver Broncos,Oakland Raiders,Denver Broncos,,Mon,November 13,9:09PM,27,24,329,2,411,3,Broncos,Denver,Raiders,Oakland
158,2000,12,Minnesota Vikings,Carolina Panthers,Minnesota Vikings,,Sun,November 19,1:00PM,31,17,446,2,330,3,Vikings,Minnesota,Panthers,Carolina
159,2000,12,Kansas City Chiefs,Buffalo Bills,Buffalo Bills,,Sun,November 19,1:00PM,21,17,299,0,378,2,Chiefs,Kansas City,Bills,Buffalo
160,2000,12,New England Patriots,Cincinnati Bengals,New England Patriots,,Sun,November 19,1:02PM,16,13,291,1,365,2,Patriots,New England,Bengals,Cincinnati
